VISIT	COUNT	PERCENT
10.01	5	0.1124353497
4.01	15	0.337306049
7.01	25	0.5621767484
8.01	30	0.674612098
8.02	65	1.4616595458
9.01	60	1.3492241961
9.02	35	0.7870474477
9.03	25	0.5621767484
观察期D1	410	9.2196986733
观察期D2	210	4.7222846863
观察期D3	210	4.7222846863
观察期D4	210	4.7222846863
观察期D5	210	4.7222846863
观察期D6	210	4.7222846863
基线期D-1	336	7.5556554981
筛选期(D-28~D-2)	336	7.5556554981
随访期D11	210	4.7222846863
随访期D120	200	4.497413987
随访期D15	205	4.6098493366
随访期D155	150	3.3730604902
随访期D183	30	0.674612098
随访期D22	210	4.7222846863
随访期D29	210	4.7222846863
随访期D43	210	4.7222846863
随访期D64	210	4.7222846863
随访期D8	210	4.7222846863
随访期D92	210	4.7222846863
